"video_id","title","published_at","view_count","like_count","channel_title"
"_4slCuc1epc","Shakarkand Ki Tikki | Navratri Special | Sanjeev Kapoor Khazana","2015-10-09 14:30:01","22725","129","Sanjeev Kapoor Khazana "
"_4x-XX0Kc6E","Aloo Matar | 5 Best Potato Recipes | Chef Anupa | Sanjeev Kapoor Khazana","2017-04-27 11:30:00","633122","6613","Sanjeev Kapoor Khazana "
"_5045NZdidc","गोविंद गट्टे और मखाना  | Govind Gatte Aur Makhana | Sanjeev Kapoor Khazana","2020-01-09 11:30:04","190707","5775","Sanjeev Kapoor Khazana "
"_5a_5FPIoDE","सर्दी में तवे से गर्मागर्म निकलता हुआ चटपटा नाश्ता खा लिया तो बर्गर पिज़्ज़ा सब भूल जाओगे Masala Pav","2019-12-03 07:01:41","512482","11264","CookwithParul"
"_5FBr7o3HAc","Refreshing Caramel Sharbat Drink - Healthy Energy Drink | Caramel Custard Sharbat | Doodh Sharbat","2025-03-14 08:53:31","87905","1331","Hebbars Kitchen"
"_5G29WxQvpE","गोंगुरा पचड़ी | Gongura Pachadi | Andhara Special Easy Sorrel Leaves Aachar | Sanjeev Kapoor Khazana","2021-01-02 14:30:07","51084","498","Sanjeev Kapoor Khazana "
"_5hwPIEKMCQ","sabudana dosa recipe | sabakki dose recipe | sago dosa recipe","2017-08-27 11:48:51","489443","2987","Hebbars Kitchen"
"_5vhYhKfh7M","बिना लहसुन और प्याज़ के होटल जैसी दाल मखनी | Dal Makhani Recipe | Dal Makhni without Onion and Garlic","2023-07-11 06:04:06","727968","9186","Kabita's Kitchen"
"_5wYSvsUAm4","कच्चे मटर की मसाला पूरी ऐसे बनएंगे-कचौड़ी खाना भूल जएंगे| New Matar Poori Recipe | Matar Puri Recipe","2024-02-13 08:23:42","228855","2298","CookwithParul"
"_6-AJxJH9l4","Basil Walnut Pesto | Cooking with California Walnuts | Sanjeev Kapoor Khazana","2018-01-03 14:30:01","6097","100","Sanjeev Kapoor Khazana "
"_68pf8GwHFQ","बैंगन पुलाव | Baingan Pulao | Sanjeev Kapoor Khazana","2021-03-20 11:30:02","101195","1282","Sanjeev Kapoor Khazana "
"_6Bm49faoDM","Tandoori Chicken Nanza | तंदूरी चिकन नान पिज़्ज़ा | चिकन नान ब्रेड पिज़्ज़ा | Sanjeev Kapoor Khazana","2023-03-03 11:30:12","11692","196","Sanjeev Kapoor Khazana "
"_6frETrPrpY","Ellu Mittai Recipe in Tamil | Ellu Mittai with Jaggery","2023-02-03 05:30:06","199473","3755","Madras Samayal"
"_6lJkOfpKWs","पोहे का एकदम नया Tasty क्रिस्पी नाश्ता जिसे सबलोग रोज बनवाएंगे  Poha Nameekn Donut - Poha Recipes","2019-07-01 07:09:25","2071926","31029","CookwithParul"
"_6y106DwITg","Simple Mix Vegetable Raita-Vegetable Raita Recipe-Vegetable and Yoghurt Salad","2015-05-17 09:46:25","82505","868","Kabita's Kitchen"
"_75VCjAIKM0","Baked Veggie Bites | Sanjeev Kapoor Khazana","2015-10-29 09:00:01","6338","95","Sanjeev Kapoor Khazana "
"_7CqPPkEwsQ","homemade banana chips recipe | ബനാന ചിപ്സ് | dried kerala banana wafers | kele ke chips","2019-09-27 11:20:03","1240382","18055","Hebbars Kitchen"
"_7HiEU6FwIM","Coconut Cream Spinach | Sanjeev Kapoor Khazana","2015-10-21 14:30:00","18542","262","Sanjeev Kapoor Khazana "
"_7Icl2muW7s","प्रॉन पॉट राइस | Prawn Pot Rice | Sanjeev Kapoor Khazana","2021-06-18 08:30:04","20699","657","Sanjeev Kapoor Khazana "
"_7Km7hKCQCc","Looking for a simple yet nourishing #BreakfastRecipe? Then 'Upma' is just what you need! 😍✨","2025-02-27 11:30:21","5032","242","Sanjeev Kapoor Khazana "
"_7lbI4MZ0JI","Kya Yeh Best Rajma Chawal Hai? Indian Street Food in Shankar Market Connaught Place","2018-11-24 12:30:04","1912967","34651","Veggie Paaji"
"_7T2zQOhAsM","Moong Dal Cheela Waffle | मूंग दाल चीला वॉफल | Sanjeev Kapoor Khazana","2019-07-28 11:30:02","8767","206","Sanjeev Kapoor Khazana "
"_7t4SyJURME","Steamed Fish","2014-07-10 09:03:47","109016","1181","Sanjeev Kapoor Khazana "
"_8bSB9yVUT4","Chirote Recipe in Tamil","2022-05-20 05:30:05","607498","12362","Madras Samayal"
"_8tapGHLRkU","Chicken Sweet Corn Soup | Sanjeev Kapoor Khazana","2017-01-13 11:30:00","70897","397","Sanjeev Kapoor Khazana "
"_8xUzHEjOfk","Gujarat Street Food ka Sabse Famous Dosa | Anna Dosa Vadodara | Veggie Paaji","2023-05-18 16:09:05","254420","7253","Veggie Paaji"
"_90oSdREQlY","Corn Kofta With Spinach Curry | Sanjeev Kapoor Khazana","2018-04-27 08:30:00","16280","400","Sanjeev Kapoor Khazana "
"_94hohFtctk","Lesson 14 | How to make Cold Coffee | कोल्ड कॉफ़ी | Beverages | Basic Cooking for Singles","2024-06-29 15:06:42","14","0","Sanjeev Kapoor Khazana "
"_98xZUspnR8","Muscoth Halwa Recipe in Tamil | Halwa without ghee and sugar or maida | Wheat Halwa in Tamil","2019-12-11 05:30:00","1474225","22267","Madras Samayal"
"_9cu01MyVJc","Eggless Custard Cream Bun Recipe in Tamil | Making Cream Buns without Oven in Tamil","2023-09-27 05:30:09","320183","3613","Madras Samayal"
"_9EJRyXjGGs","EATING ALL THE MENU AT SUBWAY | VEGGIE PAAJI","2020-12-26 08:13:06","977506","62592","Veggie Paaji"
"_9qIfJHyxLY","दाल मिज़ाज़ | Dal Mizaz | Simple Green Gram Dal Recipe at home | Sanjeev Kapoor Khazana","2021-02-09 14:30:03","31567","837","Sanjeev Kapoor Khazana "
"_ainyixJxts","Palak Ankurit Moong Khichdi | #LockdownDiaries |Meenakshi Madan |#FansAtHome |Sanjeev Kapoor Khazana","2020-06-13 14:30:03","8414","236","Sanjeev Kapoor Khazana "
"_ajtOAY4o-o","4 Special Mango Recipes for this Mango Season | Chutney, Beverage, Dessert & Simple Barfi Sweets","2023-03-11 08:30:07","122982","1163","Hebbars Kitchen"
"_aKNP0TRdLo","Jain Paneer Bhurji | Sanjeev Kapoor Khazana","2015-11-23 05:30:01","330906","2154","Sanjeev Kapoor Khazana "
"_ALN0wr6TeU","3 Instant Chaat Recipes in 1 Minute - Anyone Can Make it | Chatpata Chaat Recipe with Leftover Items","2023-03-05 09:36:52","205539","2002","Hebbars Kitchen"
"_ARfCDG09P0","Thai Red Curry with Jasmine Rice | Majha Kitchen | Sanjeev Kapoor Khazana","2016-08-10 14:30:00","28307","252","Sanjeev Kapoor Khazana "
"_at_CIujzOk","६ दिन बनाए ६ तरीके के टिफ़िन बच्चो के लिए | 6 Lunch Box Recipes for Kids | KabitasKitchen","2019-04-13 11:39:13","8404124","137619","Kabita's Kitchen"
"_atds9elFZE","Kacche Pyaaz Wala Samosa 😢 Aise kaun khata hai? | Veggie Paaji #streetfood #gujarat #vadodara","2023-05-31 15:32:20","309029","25267","Veggie Paaji"
"_AWMb0t4auk","रसमलाई केक | Rasmalai Cake |  Sanjeev Kapoor Khazana","2021-11-19 09:17:03","336850","4865","Sanjeev Kapoor Khazana "
"_AXm5BtbvVc","Vegetable Pad Thai Noodles with Basil Foam | Sanjeev Kapoor Khazana","2014-10-20 10:34:43","7299","47","Sanjeev Kapoor Khazana "
"_azGDIxkprI","Hariyali Chicken Makhani | Sanjeev Kapoor Khazana","2018-01-15 08:30:01","117338","1267","Sanjeev Kapoor Khazana "
"_B-9joWqwr0","Valentine Special Dessert Recipes in 30 Mins | Surprise Your Loved One with Special Creamy Desserts","2023-02-11 08:30:13","194141","1888","Hebbars Kitchen"
"_B3JMHZH90o","Idlis filled with a spicy green pea mixture, easy-to-digest dish that you must give a try!","2024-03-26 11:53:12","5047","198","Sanjeev Kapoor Khazana "
"_B8uEfnOsXw","Kesar Pista Kulfi | Sanjeev Kapoor Khazana","2015-03-04 09:30:00","144596","731","Sanjeev Kapoor Khazana "
"_b9Ly1L6_Qw","Pineapple Panna | Sanjeev Kapoor Khazana","2017-03-18 11:30:00","16453","283","Sanjeev Kapoor Khazana "
"_bgDSY7lCgA","Grilled Cake Sandwich","2013-03-08 07:59:10","7548","36","Sanjeev Kapoor Khazana "
"_BlLJ7WtiEU","अब छोड़ो मावा चाशनी का झंझट 1 चमच्च घी में 3 चीज़ो से नवरात्री की खास बर्फी मिठाई Gur Sandesh Recipe","2021-10-06 09:06:09","614831","10079","CookwithParul"
"_bn_J7ELHdI","Pulihara (Tamarind Rice) | Indian Recipes | Sanjeev Kapoor Khazana","2015-07-23 14:30:00","15535","128","Sanjeev Kapoor Khazana "
"_boo14yELQg","Bread and Paneer Croquettes","2011-05-19 13:32:26","587228","1628","Sanjeev Kapoor Khazana "
"_bq8awQ2nYo","Angoor aur Khajur ki Chutney","2013-02-02 12:33:45","15696","101","Sanjeev Kapoor Khazana "
"_BSugB_tN2Y","Pallipalayam Mushroom Recipe in Tamil | Spicy Mushroom Appetizer | Pallipalayam Mushroom Fry","2022-01-21 05:31:13","495236","8900","Madras Samayal"
"_BWWwKEV-Ms","2 Min में ज्वार का डोसा व लाल चटनी बिना दही सोडा Eno के | Jowar Dosa in Hindi | Jowar Dosa Breakfast","2024-04-20 08:43:05","280148","5341","CookwithParul"
"_Bx3etEmVIE","Phodshichi Bhaji | फोडशीची भजी | Monsoon Recipe | Seasonal Recipe | Sanjeev Kapoor Khazana","2022-07-01 11:30:10","18756","499","Sanjeev Kapoor Khazana "
"_BZoBEZ2lSU","Cabbage Toran (Keto Friendly) | Sanjeev Kapoor Khazana","2018-12-29 08:30:00","19038","421","Sanjeev Kapoor Khazana "
"_C_mYBwycoE","Hyderabadi Aloo Toast | Sanjeev Kapoor Khazana","2019-02-28 08:30:00","83823","1370","Sanjeev Kapoor Khazana "
"_c0n34utIkY","30 minutes masala pulao recipe | one pot lunch box masala veg pulav | 30 मिनट में मसाला पुलाव","2020-07-07 11:55:35","974142","13735","Hebbars Kitchen"
"_C9SZg3adxI","avial recipe | aviyal recipe | how to make udupi style aviyal recipe","2017-01-19 10:21:11","852045","6699","Hebbars Kitchen"
"_CASv_IoLBU","paneer sandwich recipe | पनीर सेन्डविच | how to make grilled paneer sandwich recipe","2018-06-13 11:13:11","1980591","14733","Hebbars Kitchen"
"_Ce9UVT0vLk","How to make Tropical Smoothie | ट्रॉपिकल स्मूदी | Sanjeev Kapoor Khazana","2025-04-03 08:30:15","4037","205","Sanjeev Kapoor Khazana "
"_CkY76cABSg","Taar Korma | तार कोरमा | Rampuri Mutton Curry | Sanjeev Kapoor Khazana","2022-06-07 08:30:04","17701","484","Sanjeev Kapoor Khazana "
"_cOV3EKRpCc","Kulith Pitla","2012-12-18 12:08:43","26238","101","Sanjeev Kapoor Khazana "
"_cPyyfc33MQ","Authentic Mandiyali Dham in Mandi Himachal | Sharma Dhaba | Veggie Paaji","2024-11-28 06:30:13","120895","3303","Veggie Paaji"
"_CUW2w6B-So","Potato Barfi | Sanjeev Kapoor Khazana","2015-05-25 13:41:34","27994","156","Sanjeev Kapoor Khazana "
"_d3gHmM20gE","Malabar Prawns | Sanjeev Kapoor Khazana","2017-12-02 11:30:00","6740","126","Sanjeev Kapoor Khazana "
"_Dawu0IjGsY","इस होली ऐसा लाजबाब शरबत बनाये जिसे पीते ही सब स्वाद के दीवाने हो जाये | Doodh Custard Sharbat Recipe","2023-03-06 08:27:16","1119408","21202","CookwithParul"
"_DD1OD9OAuU","Vegetable Pot Pie | Sanjeev Kapoor Khazana","2018-12-08 14:30:01","63209","1242","Sanjeev Kapoor Khazana "
"_DEZehaK9Lc","Instant Lemon Rice","2010-06-25 07:17:19","52475","129","Sanjeev Kapoor Khazana "
"_dg-FWwfjxc","Made using Ragi, a powerhouse of nutrients and super delicious.. #ragisattva #milletkhazana","2023-07-08 09:30:16","16721","623","Sanjeev Kapoor Khazana "
"_dhrFZTf9Hc","Perfect Milk Cake Recipe सिर्फ दूध से सुपरसॉफ्ट दानेदार MILK CAKE हलवाई की2 सीक्रेट ट्रिक Milk Cake","2021-06-28 08:08:30","483449","10863","CookwithParul"
"_DpHnK1pA8w","Baked Palak Paneer Rice | बेक्ड पालक पनीर राइस कैसे बनाएं | Sanjeev Kapoor Khazana","2024-02-06 15:30:15","22802","424","Sanjeev Kapoor Khazana "
"_DPVf-dzGO8","Best Gujarati Thali In Mumbai | Shree Thaker Bhojanalay | Golgappa Girl","2019-02-08 07:56:45","749092","9165","Golgappa Girl"
"_DSkQkNiiU4","Aaj Ka Menu | Sunday Special | Weekend Menu | आज खाने में क्या बनाएं | Sanjeev Kapoor Khazana","2023-02-05 08:30:15","13111","210","Sanjeev Kapoor Khazana "
"_dTvwqTjwaA","Mushroom Cutlet - Christmas Special | Sanjeev Kapoor Khazana","2014-12-21 12:30:01","10186","60","Sanjeev Kapoor Khazana "
"_du-h1btuQI","Pull Apart Anda Pav | पुल अपार्ट अंडा पाव | Sanjeev Kapoor Khazana","2019-06-01 05:30:00","37769","1086","Sanjeev Kapoor Khazana "
"_dUalmIXWfA","Jain Mix Dal Veg Pakoda | Jain Special Recipe | Sanjeev Kapoor Khazana","2014-06-28 09:00:00","31919","222","Sanjeev Kapoor Khazana "
"_DUnKSLc_LA","Greek Salad | Cooksmart | Sanjeev Kapoor Khazana","2017-04-26 11:30:00","1116315","18816","Sanjeev Kapoor Khazana "
"_DW1B9ON8D8","Chocolate and Orange Souffle | Sanjeev Kapoor Khazana","2015-08-18 05:30:00","8825","100","Sanjeev Kapoor Khazana "
"_dXGOp5NU9I","Prawn Alu Wadi | Sanjeev Kapoor Khazana","2019-05-10 11:30:02","9197","149","Sanjeev Kapoor Khazana "
"_E2ejQAjpqw","Give your icecream a popcorn wala crunchy twist at home! 🍿🍨 click on ▶ button to watch recipe.","2024-03-08 11:30:15","16143","451","Sanjeev Kapoor Khazana "
"_E39XsD9xMI","Spaghetti in Spinach Sauce","2011-10-18 10:52:01","32448","209","Sanjeev Kapoor Khazana "
"_e7KcVaeM8k","बच्चे बड़े कटोरी भरभर के खाएंगे स्वाद तंदरूस्ती का खजाना | Milk Doodh Pak Recipe | Gujrati Dudh Pak","2022-09-12 08:29:11","440436","7266","CookwithParul"
"_eA_41QmaC4","6 चटकारेवली चाट जो मुँहमें पानी ला दे | 6Chaat recipe by Cook with Parul | Quick Chaat Recipe | CHAT","2021-12-28 07:07:09","608001","9253","CookwithParul"
"_EaIF9WQzDQ","bhindi curry recipe | shahi bhindi masala gravy | shahi bhindi sabzi","2017-10-31 11:23:53","650341","6250","Hebbars Kitchen"
"_Eav4ZFJ4_o","Best Of Sion | Punjabi Street Food | Kulcha, Rajma Chawal & More","2020-01-27 07:02:59","873624","19389","Golgappa Girl"
"_Ecaud-FBq0","4 जबरदस्त टेस्टी चटनी डोसा वडा-इडली-नाश्ते के लिये | Original Chutney Recipe | Chutney for Dosa","2024-02-16 08:44:52","194996","3184","CookwithParul"
"_Ee30QUSYFg","Baked Beans Sandwich | Sanjeev Kapoor Khazana","2017-11-19 11:30:01","30514","407","Sanjeev Kapoor Khazana "
"_eKJH_k5cYY","Khajur Tamatar Chutney | #WellnessWednesdays | ProV | Sanjeev Kapoor Khazana","2023-06-28 11:41:34","4489","175","Sanjeev Kapoor Khazana "
"_EKKoqoeYcc","Famous Natraj Thali in Udaipur Food Tour | Veggie Paaji","2023-08-31 07:00:14","206383","5567","Veggie Paaji"
"_EL6PLFgjCg","कोस्टल प्रॉन करी | Coastal Prawn Curry | How To make Prawn Masala Gravy | Sanjeev Kapoor Khazana","2021-01-25 11:33:35","9341","338","Sanjeev Kapoor Khazana "
"_ELe_rMgkeA","Batata Vada | Indian Street Food | Simple Recipes | Sanjeev Kapoor Khazana","2015-06-10 14:30:01","1441598","8096","Sanjeev Kapoor Khazana "
"_EnN_2lgxMo","Nimbuwale Chawal (Lemon Rice)","2012-03-15 10:18:57","9309","27","Sanjeev Kapoor Khazana "
"_ErRmEQ0Qbw","Seekh Kabab Biryani | Cooking Classy with Chef Afraz | Sanjeev Kapoor Khazana","2016-09-09 08:30:01","64787","1312","Sanjeev Kapoor Khazana "
"_F2lTSxUYK0","Til ke Laddoo","2012-12-28 06:46:45","152867","425","Sanjeev Kapoor Khazana "
"_f3mwQ8cUQo","Vegetable Pot Rice | वेजिटेबल पॉट राइस | Monsoon Special | Sanjeev Kapoor Khazana","2019-07-13 16:30:00","35202","482","Sanjeev Kapoor Khazana "
"_f3vfcbQFGQ","Coorgi Mutton Pulao | Sanjeev Kapoor Khazana","2015-09-27 05:30:00","10335","97","Sanjeev Kapoor Khazana "
"_F4VtbxNDyc","Samosa Sandwich","2011-09-22 05:36:22","14744","36","Sanjeev Kapoor Khazana "
"_F5vmvz7UkE","KESAR BADAM KULFI - Indian Ice Cream","2011-03-14 05:01:40","236433","601","Sanjeev Kapoor Khazana "
"_FBwImTuEn4","Phoolmakhana ki Kheer","2010-09-24 13:32:48","157249","1169","Sanjeev Kapoor Khazana "
"_Fd4blvgmOU","Crepe Cake | Christmas Special | Sanjeev Kapoor Khazana","2018-12-20 05:30:01","56519","1401","Sanjeev Kapoor Khazana "
"_fgVG8pGkYQ","झटपट बनाएं टेस्टी त्रेवती दाल | Trevti Dal | Easy Gujarati Mix Dal Recipe |Sanjeev Kapoor Khazana","2021-02-11 14:30:08","16179","430","Sanjeev Kapoor Khazana "
"_FH7de2w-YU","poha dosa recipe | soft sponge aval dosa recipe | avalakki dose recipe","2017-05-27 11:07:56","1910346","8527","Hebbars Kitchen"
"_FSqSbKk4aY","Vegetable Spaghetti In Gujarati | Snacky Ideas by Amisha Doshi | Sanjeev Kapoor Khazana","2017-01-12 14:30:02","14837","180","Sanjeev Kapoor Khazana "
"_Ft2GKqlkA0","Eggless Biscuit Cake | एगलेस बिस्किट केक | Sanjeev Kapoor Khazana","2019-06-17 14:30:02","36938","871","Sanjeev Kapoor Khazana "
"_fVPJSiNyH0","American Chopsuey | Sanjeev Kapoor Khazana","2017-08-30 11:30:01","32663","581","Sanjeev Kapoor Khazana "
"_fWRUPjO1dQ","Kiwi Banana Shake with Chocolate Chips","2013-07-03 06:04:40","7905","45","Sanjeev Kapoor Khazana "
"_fXG0Z6IFA4","Coconut Milkshake | कोकोनट  मिल्कशेक | Milkshake Recipe | Sanjeev Kapoor Khazana","2022-02-23 11:30:07","141439","2606","Sanjeev Kapoor Khazana "
"_FYjIgDoHOY","बाजार जैसी पाव भाजी इन ट्रिक्स से बनाए | Pav Bhaji Recipe | Kabitaskitchen","2019-01-17 09:39:37","5538593","117327","Kabita's Kitchen"
"_G6IaIpz8tI","Chocolate Atta Cookies | गेहूं के आटे से बनाये चॉकलेट कुकीज़ | Sanjeev Kapoor Khazana","2023-08-30 05:30:09","5091","173","Sanjeev Kapoor Khazana "
"_g7F44trgAU","Jain Olive and Tomato Pasta | Sanjeev Kapoor Khazana","2015-08-25 05:30:00","9963","65","Sanjeev Kapoor Khazana "
"_g9HsPRdWUc","crispy instant onion rava dosa on non stick pan | suji ka dosa | रवा डोसा रेसिपी | rava dosa","2019-02-18 10:53:29","4762626","36815","Hebbars Kitchen"
"_gayd-TBJt0","ULHASNAGAR Street Food | Thali, Chaat, Falooda, Pizza & More (Part 2)","2021-08-26 08:26:52","929036","25324","Golgappa Girl"
"_Gd8Knvlrc8","Taco Bell Eating All Menu Food Challenge Pt 2 | Veggie Paaji","2022-07-30 12:00:33","287808","14723","Veggie Paaji"
"_gdIXGfLpeo","Vanilla Lassi | Sanjeev Kapoor Khazana","2016-02-11 05:30:00","12242","95","Sanjeev Kapoor Khazana "
"_gfEnlvWNj4","Noodle Crusted Chicken Bites | Sanjeev Kapoor Khazana","2016-03-15 14:30:00","6564","238","Sanjeev Kapoor Khazana "
"_GJRucIXdSI","Potato Wedges | Sanjeev Kapoor Khazana","2017-05-06 14:30:01","37484","429","Sanjeev Kapoor Khazana "
